;Availability;;;
Summary;Highlight in a few words why it is interesting;;;all
Android Google Play;;;layperson;
Android F-droid/apk;yes=f-droid.org, partial=apk or separate repository;foss tinfoil;;
Other mobile;Alternative app stores like KaiOS;;tinfoil;layperson
Apple iOS;;;layperson;
Desktop;;foss;tinfoil;layperson
Web;;foss layperson;tinfoil;
Languages;The higher the amount of people reachable the better. No=1 language, partial=2-3, yes=many global ones;;layperson;
Protocol;;;;foss tinfoil
Protocol open;yes=can be implemented based on published detailed specification, no=no source published, partial=needs reverse engineering based on rough specs or source code;foss;tinfoil;
Server license;;foss;;
Client license;;foss;tinfoil;
Register without app;;;;foss
;User features;;;
Spell check;Grammar correction, languages;all;;
Group chat;Whether they are persistent between restarts, chat log, file transfer, inline images, offline messaging;all;;
Voice calls;;foss layperson;tinfoil;
Video calls;;foss layperson;tinfoil;
Group calls;Audio, video;foss layperson;tinfoil;
Voice messages;Ideally push to talk, may be useful where voice call is not supported;;;
Screen sharing;;foss layperson;;
Audio filtering;Noise cancellation, gain control, voice activity detection;foss layperson;;
File transfer;Retry, pause, resume;layperson;foss tinfoil;
Emoticons in message;Compose, show;layperson;;
Sticker packs;Whether they are animated;;layperson;
Inline images;Supported image formats: png, jpeg, gif, webp, avif;;;
Inline videos;Supported video formats: mp4, webm, av1;;;
Polls;Multiple choice voting;;layperson;
Reactions;yes=Emoticons, partial=only upvoting;;layperson;
Read public content without registering;Provides free tasting to look around before committing to install anything or having to remember another pair of credentials;;layperson;foss
Multiple devices;If the same account can be used at the same time from multiple devices, syncing contacts, messages and notifications.;layperson;foss tinfoil;
Online account replica;yes=everything available in the cloud from any device, partial=not all of credentials, profile, settings, contacts or conversations;layperson;;
Multiple accounts;If you can stay logged in with multiple accounts on the same device and application without external isolation techniques;layperson;foss tinfoil;
Application locking;Unlock the account or certain chats with a PIN code, passphrase, fingerprints or facial likeness;layperson;tinfoil;
Remote message removal;Also called redaction or deletion;foss layperson;;
Remote message correction;Also called editing;foss layperson;;
Message expiration;Also called retention time or disappearing messages or self-destructing messages;;foss tinfoil;
Presence status;This can actually be a privacy breach for tinfoil;;layperson;
Presence not mandatory;If has presence broadcasting, can it be hidden when online;tinfoil;;
Typing notifications;;;layperson;
;Qualities;;;
Vendor can't curate content;no=vendor can influence who can access which content, remove spam and vandalism;foss;tinfoil;
Spam protection;If it gained worldwide adoption;all;;
Account deactivation after device compromise;Solvable with centralized or federated servers or with revocation certificates in P2P.;layperson;foss tinfoil;
Account recovery after device compromise;Solvable with centralized or federated servers or with subkeys, revocation and secret sharing in P2P.;tinfoil layperson;;
CPU idle;no=Proof of work, partial=sluggish due to Idling too little in foreground or measurable amount of processing in background, yes=otherwise;layperson;foss tinfoil;
Power saving;Ensure that device wakes up as few times as possible, filters and batches events on remote side, no open sockets, delegated peer tracking;layperson;foss tinfoil;
Bandwidth frugal;Conservation by lazy loading, previews, adaptive detail, incremental sync, fewer round trips, tokenization, batching transfers to improve compression, tweaked key schedule, multicasting hubs;layperson;foss tinfoil;
;Security;;;
End-to-end encryption;This is more important for closed or non-self hosted servers;tinfoil;layperson;foss
E2EE keys shielded from operator;Regardless of this, certain OS vendors might also have access to your keys;tinfoil;layperson;foss
Deniability;Deny sending a message, repudiability;tinfoil;;
Replay prevention;Of third party buffering nodes;tinfoil;;
Downgrade resistance;Mitigation against downgrade attacks;tinfoil;;
Contact list confidential;If the client never sends over its contact list to the server;tinfoil;;
Metadata protection;;tinfoil;;
Perfect forward secrecy;;tinfoil;;
Security team;yes=regularly scanning for vulnerabilities proactively, found bugs inspected for security implications, partial=reported vulnerabilities promptly fixed and released;tinfoil;;
Large bug bounty;;;tinfoil;
Reproducible builds;;tinfoil;foss;
Audits;;tinfoil;;
Usage without phone number;;tinfoil;foss;
;Sustainability;;;
Transparent financing;yes=it is clear how the project can operate indefinitely, no=we know nothing, partial=public statements were made but not convincing;;;foss tinfoil
No-cost tier;;foss layperson;tinfoil;
Payment choices;yes=cryptocurrency or some other anonymous, partial=lots of inexpensive choices;tinfoil;;
Active development;yes=developer availability is not a bottleneck for progress, partial=occasional hobby development or basic maintenance work, no=no development or only ensuring it builds;;foss;tinfoil
Multi-party development;no=one-man show, yes=highest level contributors are exchangeable, equal drivers, partial=regular contributions from multiple people;;;foss
Isolated self-hosting;It can be deployed on-premise in a LAN without internet;foss;;
User can extend network with node;Improving the scaling of the system and communicate with anyone (i.e., if P2P or federated);foss;;
Identity not controlled by vendor;Will the system still work if the developer goes bankrupt;foss;layperson;
;Topology;;;
Offline;no=Not useful if disconnected. partial=Only read a few buffered messages or compose new ones. yes=Reboot, add new contacts, past logs, search, cache list of groups or users, settings.;layperson;foss;
Servers required;List all server software or instance by name that are mandatory to keep this network running or to host it in isolation;;;foss
Servers optional;List all server software or instance by name that can provide extra features when using this network;;;foss
Serverless WAN mode;If communicating over the internet might scale without (a vast amount of) dedicated servers, i.e. by supernode promotion and DHT;foss;;
Serverless LAN mode;If you can communicate without an internet connection and a server;;;
Network store and forward;You can compose messages to your peer even if the two of you aren't online at the same time;layperson;;
Wireless mode;Built-in support for peering with nearby nodes over ISM wireless either to sync or as part of a mesh;;tinfoil;
IP shielded from peers;;tinfoil;;
Proxy support;HTTP, Tor, SOCKS5;;tinfoil;
;Vendor;;;
Third party clients;yes=Multiple full featured clients available, no=Terms of service prohibits access to vendor operated network;foss;;
Bots available;no=banned, yes=several available possibly from a built-in gallery;;;
User addons;Apps, widgets, integrations by third party developers or users themselves;;;
Hosted bots and addons;Optionally provided so that a user need not maintain a separate server;layperson;;
Tor access of vendor operated network;Yes=Without involving Tor exit nodes, no=Tor exit nodes blocked, limited=otherwise;tinfoil;;
IPv6 access of vendor operated network;Still green if only registration is limited to IPv4;foss;;
Vendor operated network inaccessible from countries;If it is illegal or blocked here or if the vendor prohibits usage or its infrastructure blocks users from here. Encryption itself is outlawed in many countries, do not list these.;tinfoil;;
Vendor legal entity kind;Individual, entrepreneur, non-profit company, single-person for-profit, multi-party for-profit;;;foss tinfoil
Transparency reports;;;;
Vendor jurisdiction;;;;tinfoil
Infrastructure jurisdiction;;;;tinfoil
Infrastructure provider;;;;tinfoil
Good ToSDR grade;yes=A,B, partial=C,D, no=E,F;layperson;foss tinfoil;
;Reputation;;;
First release;yes=mature, large masses have tested it for years, no=only released recently;;;foss
Public issue tracker;Whether outstanding bugs can be viewed by the public. partial=approximated via forum;;foss;tinfoil
Support team;yes=Dedicated, friendly, sufficient compared to user base;layperson;;
No past DDoS;no=denial of service happened against vendor operated network;layperson;;
No past client vulnerabilities;no=security exploits in client or server side;all;;
No past server vulnerabilities;no=exploits in self-hostable server or data leaks by vendor;all;;
No past financing hiccups;no=development can intermittently stop due to lack of funds;layperson;;
Ethical financing in the past;no=tax evasion;foss;;
Ethical business in the past;no=anti-trust investigations, bribes, hurting customers in other way;foss;;
No past conflicts of interest;no=shady ownership changes, investor may benefit from breaching privacy or project failure;tinfoil;foss;
No past privacy glitches;no=uncovered cases when vendor hurt users;tinfoil layperson;;
